user_id,age,days_since_signup,past_purchases,is_treatment,time_spent_mins,is_retained
1,39,114,3,1,23.715075801365124,0
2,33,292,2,1,23.130198472317417,0
3,41,18,1,1,20.707317261818893,1
4,50,261,1,1,21.58911620817462,1
5,32,119,1,0,17.75112801085746,1
6,32,78,1,1,21.307717645542308,1
7,50,96,2,0,27.88519106710786,1
8,42,76,4,0,17.191952469894346,1
9,30,197,3,1,22.310366850910825,1
10,40,221,6,1,30.0213639307614,1
11,30,242,2,1,21.01584838261476,0
12,30,226,1,0,13.628675935261695,1
13,37,310,2,1,28.971979091507478,1
14,18,142,1,0,24.20357857582226,0
15,18,168,1,0,16.204825432629825,0
16,29,208,4,1,29.320705278258647,0
17,24,213,2,0,24.88799086133299,0
18,38,91,1,0,18.43872592571114,1
19,25,364,4,1,21.837628483502026,1
20,20,130,0,1,29.632258059349702,0
21,49,7,4,0,22.129462156878585,1
22,32,339,1,1,13.824174139927663,1
23,35,150,1,1,17.54185563050681,0
24,20,221,1,0,20.285528876789545,0
25,29,344,2,1,26.878574618706793,0
26,36,355,1,1,23.695288300425908,0
27,23,228,1,0,21.615340380836898,0
28,38,127,4,0,15.069903637589913,0
29,28,294,2,1,23.200532586757074,1
30,32,74,1,0,20.183089986709366,1
31,28,178,3,0,26.230301479372347,0
32,53,177,1,0,16.36018738755567,1
33,34,234,3,0,18.173099949944564,1
34,24,292,6,0,32.35059311193149,1
35,43,30,0,1,16.69418380370679,1
36,22,207,2,0,7.886941324770596,0
37,37,102,4,1,26.51337767807984,1
38,18,87,6,1,29.892231315366914,0
39,21,335,2,1,21.948049117705512,1
40,36,198,1,1,21.240418736725513,1
41,42,207,4,0,28.699745205431206,0
42,36,280,1,0,10.613304756847675,1
43,33,309,2,0,19.98708030222289,0
44,31,184,1,1,25.863737347061143,0
45,20,277,2,0,21.535242009911137,1
46,27,56,2,1,32.16782734084531,1
47,30,41,0,0,14.31954754245844,1
48,45,299,1,1,12.304703825107378,1
49,38,115,3,1,17.0982362494463,1
50,18,280,2,0,22.566031422865063,1
51,38,300,2,0,17.23166398882428,1
52,31,233,3,1,24.899140863591715,0
53,28,20,0,1,13.41327349752758,0
54,41,163,2,0,8.619839350339642,1
55,45,226,3,0,18.36631071032922,1
56,44,92,2,1,20.566110104396174,0
57,26,305,1,0,22.144137051185485,0
58,31,133,0,0,17.874419207011332,1
59,38,48,3,0,12.763105513604456,1
60,44,338,4,0,17.100561332332333,1
61,30,201,3,0,16.93118374876287,1
62,33,70,1,1,24.390432149272087,0
63,23,71,3,1,22.539421742492465,1
64,23,257,4,0,24.666559459840343,1
65,43,127,4,1,28.050596011911335,1
